"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0049879,Shaw,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Edmonton,Alberta,
CI-0040989,Bell MTS,TV,Service Delivery,Service not working,Intermittent service,Small Business,Winnipeg,Manitoba,
CI-0040989,Bell MTS,Internet Access Services,Service Delivery,Service not working,Intermittent service,Small Business,Winnipeg,Manitoba,
CI-0070140,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Brunkild,Manitoba,
CI-0024042,Bell Canada,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Ottawa,Ontario,
CI-0098587,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Montreal,Quebec,
CI-0088119,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Trenton,Ontario,
CI-0016016,TELUS Communications Inc.,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0077914,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0088065,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Maple ont,Ontario,
CI-0013902,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Coquitlam,British Columbia,
CI-0084639-PT,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0001795,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0005034,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Edmonton ,Alberta,
CI-0005034,TELUS Communications Inc.,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton ,Alberta,
CI-0080963,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Oakville ,Ontario,
CI-0080963,Bell Canada,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Small Business,Oakville ,Ontario,
CI-0084040,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Toronto ,Ontario,
CI-0084040,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto ,Ontario,
CI-0081535,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Vancouver,British Columbia,
CI-0081535,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vancouver,British Columbia,
CI-0060034,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Small Business,Barrie,Ontario,
CI-0005897,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Peterborough,Ontario,
CI-0021565,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Charlesbourg ,Quebec,
CI-0029886,Bell Canada,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Credit/refund not received,Small Business,toronto,Ontario,
CI-0025933,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Oshawa,Ontario,
CI-0039450,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Niagara on the Lake,Ontario,
CI-0064980,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Calgary,Alberta,
CI-0077589,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Calgary,Alberta,
CI-0019751,Bell Aliant,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,Miscou,New Brunswick,
CI-0011957,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Toronto,Ontario,
CI-0070045,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0034454,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Abbotsford,British Columbia,
CI-0040933,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Winnipeg ,Manitoba,
CI-0023448,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0030346,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Anagance,New Brunswick,
CI-0045925,TELUS Communications Inc.,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Surrey,British Columbia,
CI-0002084,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Toronto,Ontario,
CI-0078150,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Notre-Dame-de-l'Ile-Perrot,Quebec,
CI-0084348,Eastlink,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Prospect Bay,Nova Scotia,
CI-0026042,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Stony Plain,Alberta,
CI-0026042,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Stony Plain,Alberta,
CI-0053032,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Onaping ,Ontario,
CI-0061117,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Whitby ,Ontario,
CI-0052849,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,CALGARY,Alberta,
CI-0058678,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Brampton,Ontario,
CI-0029108,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Windsor,Ontario,
CI-0029108,Bell Canada,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Windsor,Ontario,
CI-0020483,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Calgary,Alberta,
CI-0016591,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Brampton,Ontario,
CI-0064182,Shaw Direct,TV,Service Delivery,Service not working,Intermittent service,Consumer,Sayward,British Columbia,
CI-0040552-PF,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Verdun ,Quebec,
CI-0042034,Eastlink,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Alexandria,Ontario,
CI-0042034,Eastlink,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Alexandria,Ontario,
CI-0042034,Eastlink,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Alexandria,Ontario,
CI-0065693-PF,Koodo,Wireless services,Credit Management,3rd party credit reporting,,Consumer,North Grant,Nova Scotia,
CI-0091436,Bell Canada,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0091436,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0091436,Bell Canada,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0016768,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Montreal,Quebec,
CI-0091139,Bell Canada,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Alma,Ontario,
CI-0041711,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Small Business,Richmond ,British Columbia,
CI-0041711,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Credit/refund not received,Small Business,Richmond ,British Columbia,
CI-0061801,Westman Communications Group,TV,Service Delivery,Service not working,Intermittent service,Consumer,Somerset,Manitoba,
CI-0061801,Westman Communications Group,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Somerset,Manitoba,
CI-0061801,Westman Communications Group,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Somerset,Manitoba,
CI-0037166,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Pohénégamook,Quebec,
CI-0052810,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,halifax,Nova Scotia,
CI-0019258,UniRéso Télécom,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Chambord,Quebec,
CI-0073608,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Vancouver,British Columbia,
CI-0024740,Bell Canada,TV,Billing,Reoccurring charges,Credit/refund not received,Small Business,Fenelon Falls,Ontario,
CI-0042465,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Richmond,British Columbia,
CI-0006154,Northern Rural Networks,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,UTTERSON,Ontario,
CI-0093048,Virgin Plus,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Longueuil,Quebec,
CI-0012513,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Waterdown,Ontario,
CI-0041054,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Laval,Quebec,
CI-0005119,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Elliot Lake,Ontario,
CI-0005119,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Elliot Lake,Ontario,
CI-0005119,Bell Canada,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Elliot Lake,Ontario,
CI-0046165,Bell Canada,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Pickering ,Ontario,
CI-0084053,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0079475-PT,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Sept-îles,Quebec,
CI-0065206,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0090265,Primus,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Prince George ,British Columbia,
CI-0013707,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Niagara Falls ,Ontario,
CI-0064464,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Surrey,British Columbia,
CI-0040305,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Kitchener,Ontario,
CI-0040305,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Kitchener,Ontario,
CI-0052260,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,ottawa,Ontario,
CI-0052260,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,ottawa,Ontario,
CI-0037088,Cablevision,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Malartic,Quebec,
CI-0069544,Rogers Communications,Wireless services,Credit Management,3rd party credit reporting,,Consumer,"16103 87Ave NW  Edmonton,AB",Alberta,
CI-0077628-PT,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saint jerome,Quebec,
CI-0077628-PT,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saint jerome,Quebec,
CI-0036720,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Gatineau,Quebec,
CI-0010496,Rogers Communications,TV,Billing,Reoccurring charges,Credit/refund not received,Small Business,Toronto,Ontario,
CI-0010496,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Toronto,Ontario,
CI-0010496,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Small Business,Toronto,Ontario,
CI-0043090,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Brampton,Ontario,
CI-0032860,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,North Vancouver,British Columbia,
CI-0032860,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,North Vancouver,British Columbia,
CI-0050198,Shaw,TV,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Trail,British Columbia,
CI-0031345,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Aurora,Ontario,
CI-0010491,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Paradise,Newfoundland and Labrador,
CI-0031195,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,"West Kelowna,",British Columbia,
CI-0031195,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,"West Kelowna,",British Columbia,
